symptom,disease,treatment_recommendation,source_name,source_url,source_topic,confidence,evidence,model_used,extraction_status,validation_status,validation_notes
fever,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",MedlinePlus,https://medlineplus.gov/flu.html,flu,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
cough,influenza,Antiviral medicines can make the illness milder and shorten the time you are sick. They also can prevent serious flu complications.,Centers for Disease Control and Prevention,https://www.cdc.gov/flu/index.html,flu,0.92,CDC website,ollama/llama3.2:3b,extracted,rejected,Dose information and guaranteed cure present in the record.
fever,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",MedlinePlus,https://medlineplus.gov/flu.html,flu,0.88,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,needs_review,Row contains unclear symptom 'fatigue (tiredness)' which is not explicitly mapped to clean_symptom. Please review and correct if necessary.
headache,influenza,Antiviral medicines can make the illness milder and shorten the time you are sick. They also can prevent serious flu complications.,Centers for Disease Control and Prevention,https://www.cdc.gov/flu/index.html,flu,0.91,CDC website,ollama/llama3.2:3b,extracted,rejected,Row rejected due to guaranteed cure and unsafe advice.
muscle or body aches,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",MedlinePlus,https://medlineplus.gov/flu.html,flu,0.86,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,needs_review,Dose information missing.
sore throat,influenza,Antiviral medicines can make the illness milder and shorten the time you are sick. They also can prevent serious flu complications.,Centers for Disease Control and Prevention,https://www.cdc.gov/flu/index.html,flu,0.93,CDC website,ollama/llama3.2:3b,extracted,rejected,Dose information and guaranteed cure present in the record.
vomiting and diarrhea,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",MedlinePlus,https://medlineplus.gov/flu.html,flu,0.87,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,needs_review,Dose information missing.
fever,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",MedlinePlus,https://medlineplus.gov/commoncold.html,common cold,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
sore throat,common cold,"Rest, drink fluids, and seek medical care if symptoms worsen.",MedlinePlus,https://medlineplus.gov/commoncold.html,common cold,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,needs_review,Dose information is present but not specified. Guaranteed cure information is absent. Disease and symptom are unclear. Treatment recommendation does not match expected format.
coughing,common cold,"Rest, drink fluids, and seek medical care if symptoms worsen.",MedlinePlus,https://medlineplus.gov/commoncold.html,common cold,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,needs_review,Dose information and guaranteed cure are missing from the provided data.
headache,common cold,Getting lots of rest.,MedlinePlus,https://medlineplus.gov/commoncold.html,common cold,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,needs_review,treatment too short
runny nose,common cold,Using a clean humidifier or cool mist vaporizer.,MedlinePlus,https://medlineplus.gov/commoncold.html,common cold,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
stuffy nose,common cold,Using saline nose drops or sprays.,MedlinePlus,https://medlineplus.gov/commoncold.html,common cold,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
trouble breathing,pneumonia,"Contact your provider if you or your child have symptoms that concern you, such as trouble breathing or fast breathing.",MedlinePlus,https://medlineplus.gov/commoncold.html,common cold,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
dehydration,common cold,Drink plenty of fluids.,MedlinePlus,https://medlineplus.gov/commoncold.html,common cold,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,needs_review,treatment too short
coughing,asthma,Short-term relief medicines can help relieve symptoms or prevent them during an asthma attack. They include an inhaler to carry with you all the time.,MedlinePlus,https://medlineplus.gov/asthma.html,asthma,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
chest tightness,asthma,Control medicines can help prevent symptoms by reducing airway inflammation and preventing narrowing of the airways.,MedlinePlus,https://medlineplus.gov/asthma.html,asthma,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
shortness of breath,asthma,"If you have a severe attack and the short-term relief medicines do not work, you will need emergency care.",MedlinePlus,https://medlineplus.gov/asthma.html,asthma,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
wheezing,asthma,Spirometry is done before and after the test to measure how well your lungs work.,MedlinePlus,https://medlineplus.gov/asthma.html,asthma,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
tightness in your chest,asthma,Bronchial thermoplasty is a procedure that uses heat to shrink the smooth muscle in the lungs.,MedlinePlus,https://medlineplus.gov/asthma.html,asthma,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
chest tightness,asthma,Inhaled corticosteroids can help control asthma symptoms.,"National Heart, Lung, and Blood Institute",https://www.nhlbi.nih.gov/health-topics/asthma,asthma,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
coughing,asthma,Asthma and Complementary Health Approaches: What You Need to Know can help you understand the different approaches to managing asthma.,National Center for Complementary and Integrative Health,https://www.nccih.gov/health-topics/asthma-complementary-approaches,asthma,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
fever,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",NHS,https://www.nhs.uk/conditions/flu/,flu,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
sore throat,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",NHS,https://www.nhs.uk/conditions/flu/,flu,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
headache,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",NHS,https://www.nhs.uk/conditions/flu/,flu,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
dry cough,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",NHS,https://www.nhs.uk/conditions/flu/,flu,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
tiredness,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen.",NHS,https://www.nhs.uk/conditions/flu/,flu,0.85,Short quote or paraphrase from the source text.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
