source_name,url,topic
MedlinePlus,https://medlineplus.gov/flu.html,flu
MedlinePlus,https://medlineplus.gov/commoncold.html,common cold
MedlinePlus,https://medlineplus.gov/asthma.html,asthma
MedlinePlus,https://medlineplus.gov/diabetes.html,diabetes
MedlinePlus,https://medlineplus.gov/highbloodpressure.html,high blood pressure
MedlinePlus,https://medlineplus.gov/migraine.html,migraine
MedlinePlus,https://medlineplus.gov/pneumonia.html,pneumonia
MedlinePlus,https://medlineplus.gov/bronchitis.html,bronchitis
MedlinePlus,https://medlineplus.gov/anemia.html,anemia
MedlinePlus,https://medlineplus.gov/dehydration.html,dehydration
NHS,https://www.nhs.uk/conditions/flu/,flu
NHS,https://www.nhs.uk/conditions/common-cold/,common cold
NHS,https://www.nhs.uk/conditions/asthma/,asthma
NHS,https://www.nhs.uk/conditions/type-2-diabetes/,type 2 diabetes
NHS,https://www.nhs.uk/conditions/high-blood-pressure-hypertension/,hypertension
NHS,https://www.nhs.uk/conditions/migraine/,migraine
NHS,https://www.nhs.uk/conditions/pneumonia/,pneumonia
NHS,https://www.nhs.uk/conditions/bronchitis/,bronchitis
NHS,https://www.nhs.uk/conditions/iron-deficiency-anaemia/,anemia
NHS,https://www.nhs.uk/conditions/dehydration/,
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/flu/symptoms-causes/syc-20351719,flu
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/asthma/symptoms-causes/syc-20369653,asthma
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/type-2-diabetes/symptoms-causes/syc-20351193,type 2 diabetes
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/high-blood-pressure/symptoms-causes/syc-20373410,hypertension
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/migraine-headache/symptoms-causes/syc-20360201,migraine
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/pneumonia/symptoms-causes/syc-20354204,pneumonia
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/bronchitis/symptoms-causes/syc-20355566,bronchitis
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/anemia/symptoms-causes/syc-20351360,anemia
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/dehydration/symptoms-causes/syc-20354086,dehydration
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/coronavirus/symptoms-causes/syc-20479963,covid-19
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671,sinusitis
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/ear-infections/symptoms-causes/syc-20351616,ear infection
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/strep-throat/symptoms-causes/syc-20350338,strep throat
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/food-poisoning/symptoms-causes/syc-20356230,food poisoning
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/gastroenteritis/symptoms-causes/syc-20367663,gastroenteritis
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/urinary-tract-infection/symptoms-causes/syc-20353447,urinary tract infection
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/kidney-infection/symptoms-causes/syc-20353387,kidney infection
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/copd/symptoms-causes/syc-20353679,copd
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497,allergies
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/hay-fever/symptoms-causes/syc-20373039,hay fever
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/eczema/symptoms-causes/syc-20353273,eczema
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/psoriasis/symptoms-causes/syc-20355840,psoriasis
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,acne
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/depression/symptoms-causes/syc-20356007,depression
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961,anxiety
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/gerd/symptoms-causes/syc-20361940,gerd
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/irritable-bowel-syndrome/symptoms-causes/syc-20360016,irritable bowel syndrome
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/constipation/symptoms-causes/syc-20354253,constipation
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/diarrhea/symptoms-causes/syc-20352241,diarrhea
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/gallstones/symptoms-causes/syc-20354214,gallstones
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/appendicitis/symptoms-causes/syc-20369543,appendicitis
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/arthritis/symptoms-causes/syc-20350772,arthritis
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/rheumatoid-arthritis/symptoms-causes/syc-20353648,rheumatoid arthritis
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925,osteoarthritis
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/back-pain/symptoms-causes/syc-20369906,back pain
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/osteoporosis/symptoms-causes/syc-20351968,osteoporosis
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/hypothyroidism/symptoms-causes/syc-20350284,hypothyroidism
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/hyperthyroidism/symptoms-causes/syc-20373659,hyperthyroidism
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/obesity/symptoms-causes/syc-20375742,obesity
Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/sleep-apnea/symptoms-causes/syc-20377631,sleep apnea

Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/6424-asthma,asthma
