symptom,disease,treatment_recommendation,source_name,source_url,source_topic,confidence,evidence,model_used,extraction_status,validation_status,validation_notes
fever,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",MedlinePlus,https://medlineplus.gov/flu.html,flu,0.85,The page links fever with influenza symptoms and recommends rest and fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
cough,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",MedlinePlus,https://medlineplus.gov/flu.html,flu,0.85,The page links cough with influenza symptoms and recommends rest and fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
headache,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",MedlinePlus,https://medlineplus.gov/flu.html,flu,0.85,The page links headache with influenza symptoms and recommends rest and fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
fatigue (tiredness),influenza,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",MedlinePlus,https://medlineplus.gov/flu.html,flu,0.85,The page links fatigue with influenza symptoms and recommends rest and fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
vomiting,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",MedlinePlus,https://medlineplus.gov/flu.html,flu,0.85,"The page mentions vomiting as a symptom of influenza, but notes it is more common in children.",ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
diarrhea,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",MedlinePlus,https://medlineplus.gov/flu.html,flu,0.85,"The page mentions diarrhea as a symptom of influenza, but notes it is more common in children.",ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
fever,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",MedlinePlus,https://medlineplus.gov/commoncold.html,common cold,0.85,The page links fever with influenza symptoms and recommends rest and fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
sore throat,common cold,"Rest, drink fluids, and seek medical care if symptoms worsen.",MedlinePlus,https://medlineplus.gov/commoncold.html,common cold,0.8,The page recommends gargling with warm salt water for sore throat symptoms.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
coughing,common cold,"Rest, drink fluids, and seek medical care if symptoms worsen.",MedlinePlus,https://medlineplus.gov/commoncold.html,common cold,0.9,The page recommends taking over-the-counter pain or cold and cough medicines for coughing symptoms.,ollama/llama3.2:3b,extracted,needs_review,Treatment contains dosage instructions.
coughing,asthma,"Rest, drink fluids, and seek medical care if symptoms worsen.",MedlinePlus,https://medlineplus.gov/asthma.html,asthma,0.92,The page links coughing with asthma symptoms and recommends short-term relief medicines.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
chest tightness,asthma,Control medicines. You take them every day to help prevent symptoms.,MedlinePlus,https://medlineplus.gov/asthma.html,asthma,0.91,The page links chest tightness with asthma symptoms and recommends control medicines.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
shortness of breath,asthma,Control medicines. You take them every day to help prevent symptoms.,MedlinePlus,https://medlineplus.gov/asthma.html,asthma,0.9,The page links shortness of breath with asthma symptoms and recommends control medicines.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
feeling very thirsty,diabetes,Drink plenty of water and other fluids to stay hydrated.,MedlinePlus,https://medlineplus.gov/diabetes.html,diabetes,0.9,The page links feeling very thirsty with diabetes symptoms and recommends drinking plenty of fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
feeling very hungry,diabetes,"Eat a healthy, balanced diet that includes plenty of fruits, vegetables, whole grains, and lean protein.",MedlinePlus,https://medlineplus.gov/diabetes.html,diabetes,0.9,The page links feeling very hungry with diabetes symptoms and recommends a healthy diet.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
"urinating (peeing) more often, including at night",diabetes,Drink plenty of water and other fluids to stay hydrated.,MedlinePlus,https://medlineplus.gov/diabetes.html,diabetes,0.9,The page links urinating more often with diabetes symptoms and recommends drinking plenty of fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
fatigue,diabetes,"Get regular physical activity, such as walking or other exercises you enjoy.",MedlinePlus,https://medlineplus.gov/diabetes.html,diabetes,0.9,The page links fatigue with diabetes symptoms and recommends regular physical activity.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
blurry vision,diabetes,Get regular eye exams to monitor your vision and detect any problems early.,MedlinePlus,https://medlineplus.gov/diabetes.html,diabetes,0.9,The page links blurry vision with diabetes symptoms and recommends regular eye exams.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
numbness or tingling in the feet or hands,diabetes,Get regular foot exams to monitor your feet and detect any problems early.,MedlinePlus,https://medlineplus.gov/diabetes.html,diabetes,0.9,The page links numbness or tingling in the feet or hands with diabetes symptoms and recommends regular foot exams.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
sores that do not heal,diabetes,Get regular foot exams to monitor your feet and detect any problems early.,MedlinePlus,https://medlineplus.gov/diabetes.html,diabetes,0.9,The page links sores that do not heal with diabetes symptoms and recommends regular foot exams.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
headache,high blood pressure,"Managing high blood pressure can help prevent headaches. Making healthy lifestyle changes such as eating a heart-healthy diet, exercising regularly, and getting enough sleep can help lower your blood pressure.",MedlinePlus,https://medlineplus.gov/highbloodpressure.html,high blood pressure,0.8,The page links headaches to high blood pressure symptoms and recommends lifestyle changes.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
chest pain,high blood pressure,"If you have high blood pressure, your doctor may recommend lifestyle changes such as a heart-healthy diet and regular exercise. If these changes do not control or lower your blood pressure, your doctor may prescribe medication.",MedlinePlus,https://medlineplus.gov/highbloodpressure.html,high blood pressure,0.9,The page links chest pain to high blood pressure symptoms and recommends lifestyle changes and medication.,ollama/llama3.2:3b,extracted,needs_review,risky treatment wording: prescribe
shortness of breath,high blood pressure,"If you have high blood pressure, your doctor may recommend lifestyle changes such as a heart-healthy diet and regular exercise. If these changes do not control or lower your blood pressure, your doctor may prescribe medication.",MedlinePlus,https://medlineplus.gov/highbloodpressure.html,high blood pressure,0.7,The page links shortness of breath to high blood pressure symptoms and recommends lifestyle changes and medication.,ollama/llama3.2:3b,extracted,needs_review,risky treatment wording: prescribe
nausea,migraine,"Resting with your eyes closed in a quiet, darkened room Placing a cool cloth or ice pack on your forehead Drinking fluids",MedlinePlus,https://medlineplus.gov/migraine.html,migraine,0.9,"Other migraine symptoms may include Increased sensitivity to light, noise, and odors Nausea and vomiting Worsened pain when you move, cough, or sneeze",ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
weakness,migraine,"Stress management strategies, such as exercise, relaxation techniques, and biofeedback, may reduce the number and severity of migraines.",MedlinePlus,https://medlineplus.gov/migraine.html,migraine,0.8,"Biofeedback uses electronic devices to teach you to control certain body functions, such as your heartbeat, blood pressure, and muscle tension.",ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
increased sensitivity to light,migraine,"Resting with your eyes closed in a quiet, darkened room Placing a cool cloth or ice pack on your forehead Drinking fluids",MedlinePlus,https://medlineplus.gov/migraine.html,migraine,0.9,"Other migraine symptoms may include Increased sensitivity to light, noise, and odors Nausea and vomiting Worsened pain when you move, cough, or sneeze",ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
fever,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",MedlinePlus,https://medlineplus.gov/pneumonia.html,pneumonia,0.85,The page links fever with influenza symptoms and recommends rest and fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
chills,pneumonia,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",MedlinePlus,https://medlineplus.gov/pneumonia.html,pneumonia,0.85,The page links chills with pneumonia symptoms and recommends rest and fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
cough,pneumonia,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",MedlinePlus,https://medlineplus.gov/pneumonia.html,pneumonia,0.85,The page links cough with pneumonia symptoms and recommends rest and fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
shortness of breath,pneumonia,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",MedlinePlus,https://medlineplus.gov/pneumonia.html,pneumonia,0.85,The page links shortness of breath with pneumonia symptoms and recommends rest and fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
chest pain when breathing or coughing,pneumonia,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",MedlinePlus,https://medlineplus.gov/pneumonia.html,pneumonia,0.85,The page links chest pain with pneumonia symptoms and recommends rest and fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
nausea and/or vomiting,pneumonia,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",MedlinePlus,https://medlineplus.gov/pneumonia.html,pneumonia,0.85,The page links nausea and vomiting with pneumonia symptoms and recommends rest and fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
diarrhea,pneumonia,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",MedlinePlus,https://medlineplus.gov/pneumonia.html,pneumonia,0.85,The page links diarrhea with pneumonia symptoms and recommends rest and fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
cough,chronic bronchitis,"Lifestyle changes, such as Quitting smoking if you are a smoker. This is the most important step you can take to treat chronic bronchitis. Avoiding secondhand smoke and places where you might breathe in other lung irritants Ask your health care provider for an eating plan that will meet your nutritional needs. Also ask about how much physical activity you can do.",MedlinePlus,https://medlineplus.gov/bronchitis.html,bronchitis,0.9,The page links cough with chronic bronchitis symptoms and recommends lifestyle changes.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
shortness of breath,chronic bronchitis,"Oxygen therapy, if you have severe chronic bronchitis and low levels of oxygen in your blood. Oxygen therapy can help you breathe better.",MedlinePlus,https://medlineplus.gov/bronchitis.html,bronchitis,0.8,The page mentions oxygen therapy as a treatment for severe chronic bronchitis.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
weight loss,chronic bronchitis,"Lifestyle changes, such as Quitting smoking if you are a smoker. This is the most important step you can take to treat chronic bronchitis. Avoiding secondhand smoke and places where you might breathe in other lung irritants Ask your health care provider for an eating plan that will meet your nutritional needs.",MedlinePlus,https://medlineplus.gov/bronchitis.html,bronchitis,0.9,The page links weight loss with chronic bronchitis symptoms and recommends lifestyle changes.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
fever,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",MedlinePlus,https://medlineplus.gov/anemia.html,anemia,0.85,The page links fever with influenza symptoms and recommends rest and fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
shortness of breath,anemia,Treatment depends on the kind of anemia you have.,MedlinePlus,https://medlineplus.gov/anemia.html,anemia,0.8,"Anemia can make you feel tired, cold, dizzy, and irritable.",ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
dizziness,anemia,Treatment depends on the kind of anemia you have.,MedlinePlus,https://medlineplus.gov/anemia.html,anemia,0.75,"Anemia can make you feel tired, cold, dizzy, and irritable.",ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
fever,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",MedlinePlus,https://medlineplus.gov/dehydration.html,dehydration,0.85,The page links fever with influenza symptoms and recommends rest and fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
dry mouth,dehydration,"Drink fluids, especially water or an oral rehydration solution.",MedlinePlus,https://medlineplus.gov/dehydration.html,dehydration,0.8,The page recommends drinking fluids to treat dehydration.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
dark-colored urine,dehydration,"Drink fluids, especially water or an oral rehydration solution.",MedlinePlus,https://medlineplus.gov/dehydration.html,dehydration,0.9,The page recommends drinking fluids to treat dehydration.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
dry cough,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",NHS,https://www.nhs.uk/conditions/flu/,flu,0.85,The page links dry cough with influenza symptoms and recommends rest and fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
loss of appetite,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",NHS,https://www.nhs.uk/conditions/flu/,flu,0.85,The page links loss of appetite with influenza symptoms and recommends rest and fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
diarrhoea,influenza,"Rest, drink fluids, and seek medical care if symptoms worsen or risk factors are present.",NHS,https://www.nhs.uk/conditions/flu/,flu,0.85,The page links diarrhoea with influenza symptoms and recommends rest and fluids.,ollama/llama3.2:3b,extracted,valid,Passed rule-based validation.
